,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
188,Al Horford,Bos,F-C,32.86,13.6,4.1,29.0,6.7,0.85,1.26,2018-2019,28928709.0
189,Wes Iwundu,Orl,F,24.31,5.0,1.1,18.1,2.7,0.41,0.32,2018-2019,1378242.0
190,Noah Vonleh,Nyk,F,23.63,8.4,1.9,25.3,7.8,0.66,0.75,2018-2019,1512601.0
191,Lance Stephenson,Lal,G,28.6,7.2,2.1,16.5,3.2,0.6,0.1,2018-2019,4449000.0
192,Eric Gordon,Hou,G,30.29,16.2,1.9,31.7,2.2,0.6,0.4,2018-2019,13500375.0
193,Devin Harris,Dal,G,36.12,6.3,1.8,15.7,1.6,0.51,0.24,2018-2019,1512601.0
194,Jordan Bell,Gol,F,24.26,3.3,1.1,11.6,2.7,0.26,0.76,2018-2019,1378242.0
195,Derrick White,San,G,24.78,9.9,3.9,25.8,3.7,1.0,0.7,2018-2019,1667160.0
196,Jrue Holiday,Nor,G,28.83,21.2,7.7,35.8,5.0,1.64,0.81,2018-2019,25976111.0
197,DeMarre Carroll,Bro,F,32.71,11.1,1.3,25.4,5.2,0.45,0.15,2018-2019,15400000.0
198,Clint Capela,Hou,C,24.9,16.6,1.4,33.6,12.6,0.66,1.52,2018-2019,13793104.0
199,Kent Bazemore,Atl,G,29.78,11.6,2.3,24.5,3.9,1.33,0.63,2018-2019,18089887.0
200,Ersan Ilyasova,Mil,F,31.91,6.8,0.8,18.4,4.5,0.48,0.3,2018-2019,7000000.0
201,Josh Hart,Lal,G,24.1,7.8,1.4,25.6,3.7,0.96,0.6,2018-2019,1655160.0
202,Kyrie Irving,Bos,G,27.05,23.8,6.9,33.0,5.0,1.55,0.51,2018-2019,20099189.0
203,Larry Nance Jr.,Cle,F,26.27,9.4,3.2,26.8,8.2,1.49,0.6,2018-2019,2272391.0
204,OG Anunoby,Tor,F,21.74,7.0,0.7,20.2,2.9,0.69,0.33,2018-2019,2034120.0
205,Mitchell Robinson,Nyk,C,21.03,7.3,0.6,20.6,6.4,0.79,2.44,2018-2019,1485440.0
206,Draymond Green,Gol,F,29.1,7.4,6.9,31.3,7.3,1.44,1.08,2018-2019,17469565.0
207,Rodney McGruder,Mia,G-F,27.7,7.6,1.7,23.5,3.6,0.53,0.2,2018-2019,1544951.0
208,Justise Winslow,Mia,F,23.04,12.6,4.3,29.7,5.4,1.09,0.29,2018-2019,3448926.0
209,Daniel Theis,Bos,F,27.02,5.7,1.0,13.8,3.4,0.32,0.62,2018-2019,1378242.0
210,Anthony Tolliver,Min,F,33.86,5.0,0.7,16.6,2.7,0.26,0.32,2018-2019,4750000.0
211,Kyle Lowry,Tor,G,33.05,14.2,8.7,34.1,4.8,1.4,0.48,2018-2019,31200000.0
212,Joel Embiid,Phi,F-C,25.07,27.5,3.7,33.7,13.6,0.72,1.91,2018-2019,25467250.0
213,Malcolm Brogdon,Mil,G,26.33,15.6,3.2,28.6,4.5,0.72,0.19,2018-2019,1544951.0
214,Cheick Diallo,Nor,F,22.57,6.0,0.5,14.0,5.2,0.45,0.52,2018-2019,1544951.0
215,Dewayne Dedmon,Atl,C,29.66,10.8,1.4,25.1,7.5,1.08,1.13,2018-2019,7200000.0
216,Michael Kidd-Gilchrist,Cha,F,25.54,6.7,1.0,18.4,3.8,0.5,0.61,2018-2019,13000000.0
217,Dante Cunningham,San,F,31.97,3.0,0.8,14.5,2.9,0.41,0.2,2018-2019,2487000.0
218,Jamal Crawford,Pho,G,39.06,7.9,3.6,18.9,1.3,0.52,0.19,2018-2019,1512601.0
219,Fred VanVleet,Tor,G,25.12,11.0,4.8,27.5,2.6,0.89,0.3,2018-2019,8653847.0
220,Sindarius Thornwell,Lac,G,24.4,1.0,0.3,4.9,0.7,0.22,0.11,2018-2019,1378242.0
221,Allonzo Trier,Nyk,G,23.23,10.9,1.9,22.8,3.1,0.44,0.22,2018-2019,3382000.0
222,Shaun Livingston,Gol,G,33.58,4.0,1.8,15.1,1.8,0.48,0.42,2018-2019,8307692.0
223,Devin Booker,Pho,G,22.44,26.6,6.8,35.0,4.1,0.88,0.2,2018-2019,3314365.0
224,Trey Lyles,Den,F,23.43,8.7,1.4,17.8,3.9,0.48,0.38,2018-2019,3364249.0
225,Patrick Patterson,Okc,F,30.08,3.6,0.5,13.7,2.3,0.25,0.21,2018-2019,5451600.0
226,Luke Kennard,Det,G,22.8,9.7,1.8,22.8,2.9,0.41,0.14,2018-2019,3275280.0
227,Rodions Kurucs,Bro,F,21.18,8.5,0.8,20.5,3.9,0.67,0.43,2018-2019,1618320.0
228,Zach LaVine,Chi,G,24.09,23.7,4.5,34.5,4.7,0.95,0.41,2018-2019,19500000.0
229,Marvin Bagley III,Sac,F,20.08,14.9,1.0,25.3,7.6,0.53,0.95,2018-2019,7305600.0
230,Tyrone Wallace,Lac,G,24.84,3.5,0.7,10.1,1.6,0.34,0.11,2018-2019,1349383.0
231,John Collins,Atl,F-C,21.55,19.5,2.0,30.0,9.8,0.36,0.64,2018-2019,2299080.0
232,Abdel Nader,Okc,F,25.54,4.0,0.3,11.4,1.9,0.33,0.2,2018-2019,1378242.0
233,Pat Connaughton,Mil,G,26.26,6.9,2.0,20.7,4.2,0.54,0.43,2018-2019,1641000.0
234,Frank Jackson,Nor,G,20.94,8.1,1.1,19.2,2.2,0.41,0.03,2018-2019,1378242.0
235,Meyers Leonard,Por,F-C,27.12,5.9,1.2,14.4,3.8,0.21,0.15,2018-2019,10595506.0
236,Jerian Grant,Orl,G,26.5,4.2,2.6,15.6,1.7,0.73,0.1,2018-2019,2639314.0
237,Kawhi Leonard,Tor,F,27.78,26.6,3.3,34.0,7.3,1.77,0.42,2018-2019,23114067.0
238,Cristiano Felicio,Chi,F-C,26.76,4.0,0.6,12.4,3.7,0.18,0.12,2018-2019,8740980.0
239,Maurice Harkless,Por,F,25.92,7.7,1.2,23.6,4.5,1.12,0.92,2018-2019,10837079.0
240,Derrick Jones Jr.,Mia,F-G,22.15,7.0,0.6,19.2,4.0,0.77,0.7,2018-2019,1512601.0
241,Norman Powell,Tor,F-G,25.88,8.6,1.5,18.8,2.3,0.65,0.22,2018-2019,9367200.0
242,Ian Clark,Nor,G,28.1,6.7,1.6,16.2,1.5,0.37,0.13,2018-2019,1512601.0
243,Emmanuel Mudiay,Nyk,G,23.1,14.8,3.9,27.2,3.3,0.73,0.32,2018-2019,4294480.0
244,Rondae Hollis-Jefferson,Bro,F,24.27,8.9,1.6,20.9,5.3,0.75,0.46,2018-2019,2470357.0
245,Ante Zizic,Cle,C,22.27,7.8,0.9,18.3,5.4,0.22,0.37,2018-2019,1952760.0
246,Georges Niang,Uta,F,25.82,4.0,0.6,8.8,1.5,0.17,0.1,2018-2019,1512601.0
247,Jahlil Okafor,Nor,C,23.32,8.2,0.7,15.8,4.7,0.25,0.68,2018-2019,1567707.0
248,Jared Dudley,Bro,F,33.75,4.9,1.4,20.7,2.6,0.61,0.27,2018-2019,9530000.0
249,Jaren Jackson Jr.,Mem,F-C,19.57,13.8,1.1,26.1,4.7,0.9,1.41,2018-2019,5915040.0
250,Chris Paul,Hou,G,33.93,15.6,8.2,32.0,4.6,1.97,0.31,2018-2019,35654150.0
251,Sterling Brown,Mil,G,24.16,6.4,1.4,17.8,3.2,0.43,0.14,2018-2019,1378242.0
252,Harry Giles III,Sac,F-C,20.97,7.0,1.5,14.1,3.8,0.53,0.38,2018-2019,2207040.0
253,Mario Hezonja,Nyk,F,24.12,8.8,1.5,20.8,4.1,0.98,0.14,2018-2019,6500000.0
254,Willy Hernangomez,Cha,C,24.87,7.3,1.0,14.0,5.4,0.28,0.36,2018-2019,1544951.0
255,Antonio Blakeney,Chi,G,22.52,7.3,0.7,14.5,1.9,0.21,0.16,2018-2019,1349383.0
256,Gary Harris,Den,G,24.57,12.9,2.2,28.8,2.8,0.96,0.33,2018-2019,16517857.0
257,Ish Smith,Det,G,30.77,8.9,3.6,22.3,2.6,0.52,0.2,2018-2019,6000000.0
258,Anthony Davis,Nor,F-C,26.09,25.9,3.9,33.0,12.0,1.57,2.41,2018-2019,25434263.0
259,Shabazz Napier,Bro,G,27.74,9.4,2.6,17.6,1.8,0.75,0.29,2018-2019,1942422.0
260,Tony Parker,Cha,G,36.9,9.5,3.7,17.9,1.5,0.38,0.13,2018-2019,5000000.0
261,Semi Ojeleye,Bos,F,24.35,3.3,0.4,10.6,1.5,0.18,0.07,2018-2019,1378242.0
262,Tobias Harris,Lac,F,26.74,20.9,2.7,34.6,7.8,0.73,0.44,2018-2019,14800000.0
263,James Johnson,Mia,F,32.14,7.8,2.5,21.2,3.2,0.64,0.49,2018-2019,14651700.0
264,Taurean Prince,Atl,F,25.06,13.5,2.1,28.2,3.6,0.96,0.35,2018-2019,2526840.0
265,LeBron James,Lal,F,34.28,27.4,8.3,35.2,8.4,1.31,0.6,2018-2019,35654150.0
266,Jimmy Butler,Phi,G-F,29.57,18.2,4.0,33.2,5.3,1.8,0.53,2018-2019,20445779.0
267,Kyle Korver,Uta,G-F,38.07,9.1,1.2,20.0,2.5,0.41,0.19,2018-2019,7560000.0
268,Bismack Biyombo,Cha,C,26.62,4.4,0.6,14.5,4.6,0.19,0.76,2018-2019,17000000.0
269,Landry Shamet,Phi,G,22.08,8.3,1.1,20.5,1.4,0.44,0.15,2018-2019,1703649.0
270,Elie Okobo,Pho,G,21.47,5.7,2.4,18.1,1.9,0.6,0.13,2018-2019,1238464.0
271,E'Twaun Moore,Nor,G,30.12,11.9,1.9,27.6,2.4,0.75,0.15,2018-2019,8808685.0
272,Shelvin Mack,Mem,G,28.97,7.9,3.4,22.7,1.9,0.83,0.08,2018-2019,1512601.0
273,Quincy Pondexter,San,F,31.09,1.8,0.5,5.5,0.9,0.21,0.02,2018-2019,1512601.0
274,Marc Gasol,Mem,C,34.2,15.7,4.7,33.7,8.6,1.13,1.21,2018-2019,24119025.0
275,Mike Scott,Lac,F,30.74,4.8,0.8,14.4,3.3,0.33,0.15,2018-2019,4320500.0
276,Lauri Markkanen,Chi,F,21.89,18.7,1.4,32.3,9.1,0.71,0.63,2018-2019,4536120.0
277,Justin Jackson,Sac,F,24.04,6.7,1.3,20.8,2.8,0.44,0.25,2018-2019,2807880.0
278,Brandon Ingram,Lal,F,21.61,18.3,3.0,33.9,5.2,0.54,0.6,2018-2019,5757120.0
279,Troy Brown Jr.,Was,F,19.7,4.8,1.5,14.0,2.8,0.4,0.1,2018-2019,2749080.0
280,Ekpe Udoh,Uta,C-F,31.89,2.3,0.5,6.3,1.8,0.18,0.61,2018-2019,3360000.0
281,Amir Johnson,Phi,C-F,31.95,3.9,1.2,10.4,2.9,0.31,0.27,2018-2019,1512601.0
282,Aron Baynes,Bos,F-C,32.34,5.6,1.1,16.1,4.7,0.24,0.67,2018-2019,5193600.0
283,Dirk Nowitzki,Dal,F,40.81,7.3,0.7,15.6,3.1,0.18,0.35,2018-2019,5000000.0
284,David Nwaba,Cle,G,26.24,6.5,1.1,19.3,3.2,0.71,0.33,2018-2019,1512601.0
285,Jeremy Lin,Atl,G,30.63,10.7,3.5,19.7,2.3,0.75,0.14,2018-2019,487109.0
286,Gary Clark,Hou,F,24.4,2.9,0.4,12.6,2.3,0.39,0.53,2018-2019,596873.0
287,Troy Daniels,Pho,G,27.74,6.2,0.5,14.9,1.4,0.51,0.1,2018-2019,3258539.0
288,Hamidou Diallo,Okc,G,20.7,3.7,0.3,10.3,1.9,0.41,0.2,2018-2019,838464.0
289,Derrick Rose,Min,G,30.52,18.0,4.3,27.3,2.7,0.59,0.24,2018-2019,1512601.0
290,Thabo Sefolosha,Uta,F,34.94,3.8,0.5,12.2,2.5,0.86,0.1,2018-2019,5250000.0
291,De'Anthony Melton,Pho,G,20.87,5.0,3.2,19.7,2.7,1.36,0.46,2018-2019,949000.0
292,DeAndre Jordan,Dal,C,30.72,11.0,2.0,31.1,13.7,0.64,1.06,2018-2019,22897200.0
293,Khem Birch,Orl,C,26.53,4.8,0.8,12.9,3.8,0.36,0.6,2018-2019,1378242.0
294,Aaron Holiday,Ind,G,22.53,5.9,1.7,12.9,1.3,0.4,0.26,2018-2019,1911960.0
295,Garrett Temple,Mem,G-F,32.93,9.4,1.4,31.2,3.1,1.02,0.49,2018-2019,8000000.0
296,Chasson Randle,Was,G,26.18,5.5,2.0,15.2,1.1,0.51,0.06,2018-2019,869094.0
297,Ivan Rabb,Mem,F,22.18,5.8,1.1,14.7,4.2,0.35,0.29,2018-2019,1378242.0
298,Harrison Barnes,Dal,F,26.86,17.7,1.3,32.3,4.2,0.67,0.22,2018-2019,24107258.0
299,Delon Wright,Tor,G,26.96,6.9,2.2,18.3,2.6,0.94,0.31,2018-2019,2536898.0
300,Avery Bradley,Lac,G,28.37,8.2,2.0,29.9,2.7,0.55,0.33,2018-2019,12000000.0
301,Cody Zeller,Cha,F-C,26.51,10.1,2.1,25.4,6.8,0.78,0.86,2018-2019,13528090.0
302,Stanley Johnson,Det,F,22.87,7.5,1.3,20.0,3.6,1.0,0.27,2018-2019,3940402.0
303,Tyson Chandler,Lal,C,36.52,3.1,0.6,16.4,5.6,0.4,0.5,2018-2019,1333140.0
304,Jose Calderon,Det,G,37.54,2.4,2.4,13.2,1.3,0.33,0.06,2018-2019,1512601.0
305,Furkan Korkmaz,Phi,G-F,21.72,5.8,1.1,14.2,2.3,0.6,0.04,2018-2019,1740000.0
306,Justin Anderson,Atl,G-F,25.39,3.7,0.5,9.7,1.8,0.46,0.27,2018-2019,2516048.0
307,D.J. Wilson,Mil,F,23.14,5.8,1.1,18.4,4.6,0.38,0.42,2018-2019,2534280.0
308,Marcin Gortat,Lac,C,35.15,5.0,1.4,16.0,5.6,0.13,0.51,2018-2019,13565218.0
309,Glenn Robinson III,Det,G-F,25.26,4.2,0.4,13.0,1.5,0.3,0.17,2018-2019,4075000.0
310,Frank Kaminsky,Cha,F-C,26.02,8.6,1.3,16.1,3.5,0.26,0.28,2018-2019,3627842.0
311,Mike Muscala,Phi,F-C,27.78,7.4,1.3,22.2,4.3,0.38,0.57,2018-2019,5000000.0
312,Lonzo Ball,Lal,G,21.46,9.9,5.4,30.3,5.3,1.47,0.4,2018-2019,7461960.0
313,Mo Bamba,Orl,C,20.92,6.2,0.8,16.3,4.9,0.28,1.36,2018-2019,4865040.0
314,George Hill,Mil,G,32.94,6.8,2.1,20.4,2.6,0.83,0.15,2018-2019,19000000.0
315,Austin Rivers,Hou,G,26.69,8.7,2.3,28.6,1.9,0.62,0.28,2018-2019,922943.0
316,Tim Frazier,Nor,G,28.44,5.0,4.4,19.3,2.9,0.53,0.09,2018-2019,196553.0
317,Kenrich Williams,Nor,G-F,24.36,6.1,1.8,23.5,4.8,0.96,0.41,2018-2019,838464.0
318,Devonte' Graham,Cha,G,24.13,4.7,2.6,14.7,1.4,0.5,0.04,2018-2019,988464.0
319,Dragan Bender,Pho,F,21.4,5.0,1.2,18.0,4.0,0.39,0.5,2018-2019,4661280.0
320,Luke Kornet,Nyk,F-C,23.74,7.0,1.2,17.0,2.9,0.59,0.91,2018-2019,1619260.0
321,Kris Dunn,Chi,G,25.07,11.3,6.0,30.2,4.1,1.48,0.46,2018-2019,4221000.0
322,Tim Hardaway Jr.,Nyk,G,27.07,19.1,2.7,32.6,3.5,0.91,0.13,2018-2019,19200127.0
323,Rajon Rondo,Lal,G,33.13,9.2,8.0,29.8,5.3,1.2,0.15,2018-2019,9000000.0
324,Lance Thomas,Nyk,F,30.96,4.5,0.6,17.0,2.5,0.37,0.15,2018-2019,7119650.0
325,Omari Spellman,Atl,F,21.72,5.9,1.0,17.5,4.2,0.54,0.57,2018-2019,1620480.0
326,Rodney Hood,Cle,G,26.47,12.2,2.0,27.4,2.5,0.84,0.11,2018-2019,3472887.0
327,Kyle O'Quinn,Ind,C,29.04,3.5,1.2,8.2,2.6,0.2,0.56,2018-2019,4449000.0
328,Enes Kanter,Nyk,C,26.89,14.0,1.9,25.6,10.5,0.41,0.41,2018-2019,487109.0
329,Reggie Bullock,Det,F,28.07,12.1,2.5,30.8,2.8,0.55,0.11,2018-2019,2500000.0
330,Chandler Hutchison,Chi,F,22.96,5.2,0.8,20.3,4.2,0.52,0.14,2018-2019,1990520.0
331,Solomon Hill,Nor,F,28.07,4.3,1.3,20.0,3.0,0.52,0.23,2018-2019,12252928.0
332,Tyler Johnson,Mia,G,26.93,10.8,2.5,25.5,2.7,0.91,0.48,2018-2019,19356932.0
333,Wesley Matthews,Dal,G-F,32.49,13.1,2.3,29.8,2.3,0.77,0.25,2018-2019,512746.0
334,Wendell Carter Jr.,Chi,F,19.99,10.3,1.8,25.2,7.0,0.59,1.34,2018-2019,4441200.0
335,Jonah Bolden,Phi,F,23.27,4.7,0.9,14.5,3.8,0.39,0.89,2018-2019,1690000.0
336,Dion Waiters,Mia,G,27.34,12.0,2.8,25.9,2.7,0.66,0.2,2018-2019,11550000.0
337,Justin Holiday,Mem,F-G,30.02,9.5,1.4,29.1,3.5,1.23,0.34,2018-2019,4384616.0
338,Nik Stauskas,Por,G,25.51,6.1,1.4,15.3,1.8,0.32,0.09,2018-2019,504200.0
339,Allen Crabbe,Bro,G-F,27.0,9.6,1.1,26.4,3.4,0.53,0.3,2018-2019,18500000.0
340,Kyle Anderson,Mem,F,25.56,8.0,3.0,29.8,5.9,1.26,0.86,2018-2019,8641000.0
341,Wayne Selden,Chi,G-F,24.53,8.0,1.7,22.9,3.2,0.53,0.16,2018-2019,1544951.0
342,T.J. Warren,Pho,F,25.6,18.0,1.5,31.6,4.0,1.19,0.67,2018-2019,11750000.0
343,Trevor Ariza,Was,F,33.78,14.1,3.8,34.1,5.2,1.23,0.3,2018-2019,15000000.0
344,Dwayne Bacon,Cha,G-F,23.61,7.3,1.1,17.6,2.1,0.28,0.12,2018-2019,1378242.0
345,Frank Ntilikina,Nyk,G,20.7,5.7,2.8,21.0,2.0,0.7,0.33,2018-2019,4155720.0
346,Moritz Wagner,Lal,C,21.96,4.8,0.6,10.4,2.0,0.23,0.3,2018-2019,1762080.0
347,Will Barton,Den,G,28.26,11.5,2.9,27.7,4.6,0.42,0.51,2018-2019,11830358.0
348,Tristan Thompson,Cle,F-C,28.08,10.9,2.0,27.9,10.2,0.63,0.37,2018-2019,17469565.0
349,Jarell Martin,Orl,F,24.88,2.7,0.4,7.8,1.7,0.07,0.19,2018-2019,2416222.0
350,Kosta Koufos,Sac,C,30.13,3.7,0.9,11.9,4.2,0.36,0.43,2018-2019,8739500.0
351,Dante Exum,Uta,G,23.75,6.9,2.6,15.8,1.6,0.33,0.12,2018-2019,9600000.0
352,Jeff Teague,Min,G,30.83,12.1,8.2,30.1,2.5,1.05,0.43,2018-2019,19000000.0
353,Joakim Noah,Mem,C,34.12,7.1,2.1,16.5,5.7,0.48,0.74,2018-2019,1093858.0
354,Ryan Broekhoff,Dal,G-F,28.63,4.0,0.5,10.8,1.5,0.14,0.1,2018-2019,838464.0
355,Iman Shumpert,Sac,G,28.79,8.9,2.2,26.2,3.1,1.12,0.48,2018-2019,11011234.0
356,Elfrid Payton,Nor,G,25.13,10.6,7.6,29.8,5.3,1.05,0.4,2018-2019,3000000.0
357,Otto Porter Jr.,Was,F,25.86,12.6,2.0,29.1,5.7,1.54,0.54,2018-2019,26011913.0
358,Jon Leuer,Det,F,29.91,3.8,0.3,9.8,2.4,0.29,0.1,2018-2019,10002681.0
359,Jonathon Simmons,Orl,F,29.57,6.9,2.3,20.6,2.5,0.41,0.34,2018-2019,6000000.0
360,Guerschon Yabusele,Bos,F,23.32,2.3,0.4,6.1,1.3,0.2,0.17,2018-2019,2667600.0
361,JaMychal Green,Mem,F,28.81,9.8,0.9,21.9,6.1,0.8,0.63,2018-2019,7666667.0
362,James Ennis III,Hou,F,28.78,7.4,0.7,23.7,2.9,0.95,0.4,2018-2019,1621415.0
363,Kelly Oubre Jr.,Pho,F,23.34,16.9,1.6,29.5,4.9,1.45,0.98,2018-2019,3208630.0
364,Caris LeVert,Bro,G,24.63,13.7,3.9,26.6,3.8,1.05,0.35,2018-2019,1702800.0
365,Jevon Carter,Mem,G,23.57,4.4,1.8,14.8,1.7,0.67,0.26,2018-2019,838464.0
366,Isaiah Briscoe,Orl,G,22.99,3.5,2.2,14.3,1.9,0.28,0.05,2018-2019,838464.0
367,Jabari Parker,Chi,F,24.07,14.3,2.2,26.7,6.2,0.62,0.36,2018-2019,20000000.0
368,Danuel House Jr.,Hou,F-G,25.84,9.4,1.0,25.1,3.6,0.54,0.28,2018-2019,247827.0
369,Sam Dekker,Was,F,24.93,6.1,1.0,16.3,3.0,0.74,0.18,2018-2019,2760095.0
370,Greg Monroe,Tor,C,28.85,4.8,0.4,11.1,4.1,0.34,0.21,2018-2019,59820.0
371,J.J. Barea,Dal,G,34.79,10.9,5.6,19.8,2.5,0.58,0.0,2018-2019,3710850.0
372,Grayson Allen,Uta,G,23.51,5.6,0.7,11.0,0.6,0.13,0.16,2018-2019,2074320.0
373,Raul Neto,Uta,G,26.89,5.3,2.5,12.8,1.7,0.38,0.11,2018-2019,2150000.0
374,Omri Casspi,Mem,F,30.8,6.3,0.7,14.5,3.2,0.56,0.25,2018-2019,1512601.0
375,Brad Wanamaker,Bos,G,29.71,3.9,1.6,9.5,1.1,0.33,0.06,2018-2019,838464.0
376,Wilson Chandler,Phi,F,31.92,6.7,2.0,26.4,4.6,0.61,0.5,2018-2019,12800562.0
377,Salah Mejri,Dal,C,32.82,3.9,1.0,11.1,3.6,0.28,0.75,2018-2019,512746.0
